SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,league_id,league_name,season_type,season_type_name
22024,1612709918,TEX,Texas Legends,2022400526,2025-03-29,TEX vs. AUS,L,241,107,40,86,0.465,9,32,0.281,11,14,0.786,10,33,43,22,6,9,15,15,-22.0,20,G-League,Regular Season,Regular
22024,1612709928,CCG,Capital City Go-Go,2022400517,2025-03-29,CCG vs. WES,L,239,97,35,88,0.398,12,37,0.324,9,13,0.692,13,27,40,23,7,2,13,27,-11.0,20,G-League,Regular Season,Regular
22024,1612709926,MHU,Memphis Hustle,2022400514,2025-03-29,MHU vs. MXC,W,239,119,43,89,0.483,17,42,0.405,12,17,0.706,13,39,52,24,6,2,16,14,7.0,20,G-League,Regular Season,Regular
22024,1612709911,IWA,Iowa Wolves,2022400522,2025-03-29,IWA vs. SBL,W,241,139,53,97,0.546,18,38,0.474,9,13,0.692,13,32,45,24,5,4,11,18,11.0,20,G-League,Regular Season,Regular
22024,1612709924,SDC,San Diego Clippers,2022400525,2025-03-29,SDC @ WIS,L,240,119,46,96,0.479,15,41,0.366,7,10,0.7,18,30,48,30,6,1,11,20,-5.0,20,G-League,Regular Season,Regular
22024,1612709893,CLC,Cleveland Charge,2022400519,2025-03-29,CLC @ LIN,W,241,128,50,110,0.455,13,38,0.342,9,14,0.643,26,37,63,30,11,8,8,20,35.0,20,G-League,Regular Season,Regular
22024,1612709923,WCB,Windy City Bulls,2022400520,2025-03-29,WCB @ MCC,L,240,113,47,100,0.47,8,29,0.276,7,7,1.0,9,31,40,21,9,3,14,21,-7.0,20,G-League,Regular Season,Regular
22024,1612709889,OKL,Oklahoma City Blue,2022400524,2025-03-29,OKL @ SXF,W,240,119,47,90,0.522,16,38,0.421,6,14,0.429,9,39,48,23,4,8,9,17,7.0,20,G-League,Regular Season,Regular
22024,1612709920,RAP,Raptors 905,2022400515,2025-03-29,RAP @ DEL,L,240,111,43,86,0.5,12,30,0.4,8,11,0.727,9,30,39,26,11,3,18,21,-11.0,20,G-League,Regular Season,Regular
22024,1612709890,AUS,Austin Spurs,2022400526,2025-03-29,AUS @ TEX,W,241,129,48,100,0.48,19,44,0.432,8,10,0.8,18,36,54,25,11,2,12,20,22.0,20,G-League,Regular Season,Regular
22024,1612709913,BHM,Birmingham Squadron,2022400521,2025-03-29,BHM @ OSC,L,240,119,43,85,0.506,24,51,0.471,5,5,1.0,4,19,23,29,10,2,8,17,-5.0,20,G-League,Regular Season,Regular
22024,1612709910,IMA,Indiana Mad Ants,2022400518,2025-03-29,IMA @ GRG,W,241,128,41,86,0.477,11,31,0.355,19,22,0.864,13,32,45,24,3,5,7,16,10.0,20,G-League,Regular Season,Regular
22024,1612709904,SXF,Sioux Falls Skyforce,2022400524,2025-03-29,SXF vs. OKL,L,240,112,37,94,0.394,16,42,0.381,12,16,0.75,12,38,50,24,6,6,10,16,-7.0,20,G-League,Regular Season,Regular
22024,1612709914,STO,Stockton Kings,2022400523,2025-03-29,STO @ RGV,W,240,111,42,86,0.488,9,30,0.3,11,16,0.688,10,30,40,17,12,3,11,15,4.0,20,G-League,Regular Season,Regular
22024,1612709929,CPS,College Park Skyhawks,2022400516,2025-03-29,CPS vs. GBO,W,239,119,39,90,0.433,17,40,0.425,17,20,0.85,15,31,46,24,6,4,9,17,7.0,20,G-League,Regular Season,Regular
22024,1612709931,MXC,Mexico City Capitanes,2022400514,2025-03-29,MXC @ MHU,L,241,112,48,105,0.457,10,40,0.25,4,7,0.571,15,32,47,29,8,8,11,17,-7.0,20,G-League,Regular Season,Regular
22024,1612709917,GRG,Grand Rapids Gold,2022400518,2025-03-29,GRG vs. IMA,L,240,118,44,93,0.473,14,42,0.333,9,11,0.818,12,28,40,20,6,4,7,26,-10.0,20,G-League,Regular Season,Regular
22024,1612709905,SBL,South Bay Lakers,2022400522,2025-03-29,SBL @ IWA,L,240,128,48,89,0.539,13,33,0.394,12,14,0.857,8,28,36,32,6,5,11,15,-11.0,20,G-League,Regular Season,Regular
22024,1612709902,SCW,Santa Cruz Warriors,2022400527,2025-03-29,SCW vs. RCR,W,240,119,45,106,0.425,16,47,0.34,8,11,0.727,19,41,60,31,12,2,17,15,16.0,20,G-League,Regular Season,Regular
