SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,league_id,league_name,season_type,season_type_name
22024,1611661313,NYL,New York Liberty,1022400236,2024-09-19,NYL vs. ATL,L,199,67,24,60,0.4,8,17,0.471,11,17,0.647,9,19,28,17,8,6,17,16,-11.0,10,WNBA,Regular Season,Regular
22024,1611661322,WAS,Washington Mystics,1022400237,2024-09-19,WAS vs. IND,W,200,92,33,71,0.465,12,34,0.353,14,15,0.933,8,22,30,23,9,1,14,18,1.0,10,WNBA,Regular Season,Regular
22024,1611661330,ATL,Atlanta Dream,1022400236,2024-09-19,ATL @ NYL,W,200,78,31,62,0.5,5,13,0.385,11,16,0.688,9,26,35,22,8,2,14,16,11.0,10,WNBA,Regular Season,Regular
22024,1611661329,CHI,Chicago Sky,1022400235,2024-09-19,CHI @ CON,L,201,54,21,62,0.339,6,21,0.286,6,9,0.667,6,18,24,16,5,10,15,19,-33.0,10,WNBA,Regular Season,Regular
22024,1611661323,CON,Connecticut Sun,1022400235,2024-09-19,CON vs. CHI,W,200,87,35,70,0.5,6,14,0.429,11,13,0.846,9,28,37,24,7,9,10,11,33.0,10,WNBA,Regular Season,Regular
22024,1611661324,MIN,Minnesota Lynx,1022400238,2024-09-19,MIN vs. LAS,L,200,51,16,56,0.286,7,23,0.304,12,16,0.75,6,22,28,11,8,2,17,11,-17.0,10,WNBA,Regular Season,Regular
22024,1611661321,DAL,Dallas Wings,1022400239,2024-09-19,DAL @ LVA,L,201,84,30,70,0.429,9,20,0.45,15,19,0.789,7,26,33,17,7,2,13,12,-14.0,10,WNBA,Regular Season,Regular
22024,1611661325,IND,Indiana Fever,1022400237,2024-09-19,IND @ WAS,L,200,91,34,64,0.531,10,20,0.5,13,15,0.867,3,29,32,28,9,0,16,14,-1.0,10,WNBA,Regular Season,Regular
22024,1611661320,LAS,Los Angeles Sparks,1022400238,2024-09-19,LAS @ MIN,W,201,68,25,59,0.424,10,31,0.323,8,9,0.889,5,31,36,18,5,4,18,12,17.0,10,WNBA,Regular Season,Regular
22024,1611661328,SEA,Seattle Storm,1022400240,2024-09-19,SEA @ PHO,W,200,89,35,78,0.449,13,36,0.361,6,8,0.75,11,30,41,27,5,2,10,18,19.0,10,WNBA,Regular Season,Regular
22024,1611661319,LVA,Las Vegas Aces,1022400239,2024-09-19,LVA vs. DAL,W,200,98,35,75,0.467,15,37,0.405,13,16,0.813,10,28,38,22,8,7,11,15,14.0,10,WNBA,Regular Season,Regular
22024,1611661317,PHO,Phoenix Mercury,1022400240,2024-09-19,PHO vs. SEA,L,199,70,24,63,0.381,6,26,0.231,16,23,0.696,6,27,33,19,8,1,11,12,-19.0,10,WNBA,Regular Season,Regular
22024,1611661322,WAS,Washington Mystics,1022400231,2024-09-17,WAS vs. NYL,L,201,71,23,61,0.377,9,26,0.346,16,19,0.842,3,26,29,16,4,4,16,14,-16.0,10,WNBA,Regular Season,Regular
22024,1611661329,CHI,Chicago Sky,1022400232,2024-09-17,CHI @ ATL,L,200,70,25,61,0.41,6,18,0.333,14,16,0.875,6,23,29,13,1,2,13,24,-16.0,10,WNBA,Regular Season,Regular
22024,1611661317,PHO,Phoenix Mercury,1022400233,2024-09-17,PHO @ LAS,W,201,85,30,64,0.469,7,28,0.25,18,22,0.818,7,18,25,22,11,9,10,19,4.0,10,WNBA,Regular Season,Regular
22024,1611661320,LAS,Los Angeles Sparks,1022400233,2024-09-17,LAS vs. PHO,L,199,81,28,83,0.337,9,33,0.273,16,20,0.8,23,26,49,16,5,3,18,18,-4.0,10,WNBA,Regular Season,Regular
22024,1611661323,CON,Connecticut Sun,1022400230,2024-09-17,CON vs. MIN,L,201,76,30,66,0.455,7,20,0.35,9,11,0.818,8,23,31,21,9,6,16,13,-2.0,10,WNBA,Regular Season,Regular
22024,1611661319,LVA,Las Vegas Aces,1022400234,2024-09-17,LVA @ SEA,W,201,85,32,60,0.533,9,20,0.45,12,14,0.857,3,28,31,18,5,2,9,11,13.0,10,WNBA,Regular Season,Regular
22024,1611661330,ATL,Atlanta Dream,1022400232,2024-09-17,ATL vs. CHI,W,198,86,30,62,0.484,5,15,0.333,21,30,0.7,7,28,35,19,9,4,7,14,16.0,10,WNBA,Regular Season,Regular
22024,1611661328,SEA,Seattle Storm,1022400234,2024-09-17,SEA vs. LVA,L,201,72,30,63,0.476,2,9,0.222,10,11,0.909,4,25,29,21,7,1,11,16,-13.0,10,WNBA,Regular Season,Regular
22024,1611661313,NYL,New York Liberty,1022400231,2024-09-17,NYL @ WAS,W,201,87,34,75,0.453,8,31,0.258,11,15,0.733,12,33,45,24,9,5,11,25,16.0,10,WNBA,Regular Season,Regular
22024,1611661324,MIN,Minnesota Lynx,1022400230,2024-09-17,MIN @ CON,W,200,78,30,64,0.469,6,14,0.429,12,13,0.923,6,25,31,22,7,7,13,12,2.0,10,WNBA,Regular Season,Regular
22024,1611661330,ATL,Atlanta Dream,1022400226,2024-09-15,ATL @ WAS,W,224,76,26,66,0.394,4,24,0.167,20,25,0.8,7,28,35,16,13,1,15,20,3.0,10,WNBA,Regular Season,Regular
22024,1611661319,LVA,Las Vegas Aces,1022400228,2024-09-15,LVA vs. CON,W,200,84,35,71,0.493,10,24,0.417,4,6,0.667,4,29,33,24,5,4,6,14,13.0,10,WNBA,Regular Season,Regular
22024,1611661328,SEA,Seattle Storm,1022400229,2024-09-15,SEA vs. LAS,W,200,90,33,71,0.465,5,22,0.227,19,22,0.864,11,21,32,19,13,3,15,17,3.0,10,WNBA,Regular Season,Regular
22024,1611661320,LAS,Los Angeles Sparks,1022400229,2024-09-15,LAS @ SEA,L,199,87,33,73,0.452,3,16,0.188,18,20,0.9,13,23,36,18,13,1,16,16,-3.0,10,WNBA,Regular Season,Regular
22024,1611661325,IND,Indiana Fever,1022400224,2024-09-15,IND vs. DAL,W,200,110,38,76,0.5,16,34,0.471,18,21,0.857,10,16,26,21,5,4,9,16,1.0,10,WNBA,Regular Season,Regular
22024,1611661321,DAL,Dallas Wings,1022400224,2024-09-15,DAL @ IND,L,200,109,42,74,0.568,11,24,0.458,14,15,0.933,11,22,33,28,7,3,13,23,-1.0,10,WNBA,Regular Season,Regular
22024,1611661322,WAS,Washington Mystics,1022400226,2024-09-15,WAS vs. ATL,L,225,73,23,59,0.39,10,31,0.323,17,21,0.81,4,22,26,14,6,3,18,21,-3.0,10,WNBA,Regular Season,Regular
22024,1611661329,CHI,Chicago Sky,1022400227,2024-09-15,CHI vs. PHO,L,200,88,32,72,0.444,14,25,0.56,10,15,0.667,11,26,37,26,4,3,7,16,-5.0,10,WNBA,Regular Season,Regular
22024,1611661323,CON,Connecticut Sun,1022400228,2024-09-15,CON @ LVA,L,199,71,27,64,0.422,6,19,0.316,11,17,0.647,7,27,34,20,2,3,8,11,-13.0,10,WNBA,Regular Season,Regular
22024,1611661313,NYL,New York Liberty,1022400225,2024-09-15,NYL vs. MIN,L,199,79,27,69,0.391,8,28,0.286,17,23,0.739,14,21,35,17,8,5,11,15,-9.0,10,WNBA,Regular Season,Regular
22024,1611661324,MIN,Minnesota Lynx,1022400225,2024-09-15,MIN @ NYL,W,199,88,35,66,0.53,9,18,0.5,9,11,0.818,9,27,36,26,6,3,15,18,9.0,10,WNBA,Regular Season,Regular
