PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,league_id,league_name,season,collection_timestamp
203932,Aaron Gordon,1610612743,DEN,25.0,6-8,80.0,235,Arizona,USA,2014,1,4,50,618,284,161,2.1,0.055,0.15,0.204,0.547,0.165,00,NBA,2020-21,2025-08-08 11:32:06.779109
1628988,Aaron Holiday,1610612754,IND,24.0,6-0,72.0,185,UCLA,USA,2018,1,23,66,475,89,123,-0.2,0.012,0.06,0.189,0.503,0.139,00,NBA,2020-21,2025-08-08 11:32:06.779109
1630174,Aaron Nesmith,1610612738,BOS,21.0,6-5,77.0,215,Vanderbilt,USA,2020,1,14,46,218,127,23,-0.5,0.041,0.146,0.133,0.573,0.047,00,NBA,2020-21,2025-08-08 11:32:06.779109
1627846,Abdel Nader,1610612756,PHX,27.0,6-5,77.0,225,Iowa State,Egypt,2016,2,58,24,160,62,19,5.0,0.02,0.151,0.183,0.605,0.078,00,NBA,2020-21,2025-08-08 11:32:06.779109
1629690,Adam Mokoka,1610612741,CHI,22.0,6-4,76.0,190,None,France,Undrafted,Undrafted,Undrafted,14,15,5,5,-7.1,0.017,0.077,0.171,0.386,0.179,00,NBA,2020-21,2025-08-08 11:32:06.779109
201143,Al Horford,1610612738,BOS,35.0,6-9,81.0,240,Florida,Dominican Republic,2007,1,3,28,398,188,94,-6.9,0.034,0.195,0.221,0.538,0.206,00,NBA,2020-21,2025-08-08 11:32:06.779109
202329,Al-Farouq Aminu,1610612741,CHI,30.0,6-8,80.0,220,Wake Forest,USA,2010,1,8,23,102,110,31,-6.2,0.05,0.2,0.138,0.469,0.101,00,NBA,2020-21,2025-08-08 11:32:06.779109
202692,Alec Burks,1610612752,NYK,29.0,6-6,78.0,214,Colorado,USA,2011,1,12,49,623,227,107,5.0,0.016,0.156,0.208,0.564,0.135,00,NBA,2020-21,2025-08-08 11:32:06.779109
1630197,Aleksej Pokusevski,1610612760,OKC,19.0,7-0,84.0,190,None,Serbia,2020,1,17,45,367,212,97,-16.7,0.025,0.155,0.197,0.43,0.133,00,NBA,2020-21,2025-08-08 11:32:06.779109
1629346,Alen Smailagic,1610612744,GSW,20.0,6-10,82.0,215,None,Serbia,2019,2,39,15,28,16,4,-17.6,0.065,0.111,0.165,0.472,0.078,00,NBA,2020-21,2025-08-08 11:32:06.779109
1627936,Alex Caruso,1610612747,LAL,27.0,6-4,76.0,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,58,370,170,160,5.5,0.025,0.114,0.144,0.547,0.19,00,NBA,2020-21,2025-08-08 11:32:06.779109
203458,Alex Len,1610612764,WAS,28.0,7-0,84.0,250,Maryland,Ukraine,2013,1,5,64,423,260,49,-4.0,0.077,0.174,0.161,0.643,0.069,00,NBA,2020-21,2025-08-08 11:32:06.779109
1628035,Alfonzo McKinnie,1610612747,LAL,28.0,6-7,79.0,215,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted,39,122,54,6,0.7,0.076,0.113,0.164,0.604,0.036,00,NBA,2020-21,2025-08-08 11:32:06.779109
1628993,Alize Johnson,1610612751,BKN,25.0,6-7,79.0,212,Missouri State,USA,2018,2,50,18,94,90,14,-4.5,0.127,0.32,0.175,0.638,0.11,00,NBA,2020-21,2025-08-08 11:32:06.779109
1628578,Amida Brimah,1610612754,IND,27.0,6-10,82.0,230,Connecticut,USA,Undrafted,Undrafted,Undrafted,5,13,8,1,32.8,0.077,0.15,0.176,0.697,0.042,00,NBA,2020-21,2025-08-08 11:32:06.779109
