season,start_year,end_year,created_date
2024-25,2024,2025,2025-08-08 11:20:58.530514
2023-24,2023,2024,2025-08-08 11:20:58.530514
2022-23,2022,2023,2025-08-08 11:20:58.530514
2021-22,2021,2022,2025-08-08 11:20:58.530514
2020-21,2020,2021,2025-08-08 11:20:58.530514
2019-20,2019,2020,2025-08-08 11:20:58.530514
2018-19,2018,2019,2025-08-08 11:20:58.530514
2017-18,2017,2018,2025-08-08 11:20:58.530514
2016-17,2016,2017,2025-08-08 11:20:58.530514
2015-16,2015,2016,2025-08-08 11:20:58.530514
2014-15,2014,2015,2025-08-08 11:20:58.530514
2013-14,2013,2014,2025-08-08 11:20:58.530514
2012-13,2012,2013,2025-08-08 11:20:58.530514
2011-12,2011,2012,2025-08-08 11:20:58.530514
2010-11,2010,2011,2025-08-08 11:20:58.530514
2009-10,2009,2010,2025-08-08 11:20:58.530514
2008-09,2008,2009,2025-08-08 11:20:58.530514
2007-08,2007,2008,2025-08-08 11:20:58.530514
2006-07,2006,2007,2025-08-08 11:20:58.530514
2005-06,2005,2006,2025-08-08 11:20:58.530514
2004-05,2004,2005,2025-08-08 11:20:58.530514
2003-04,2003,2004,2025-08-08 11:20:58.530514
2002-03,2002,2003,2025-08-08 11:20:58.530514
2001-02,2001,2002,2025-08-08 11:20:58.530514
2000-01,2000,2001,2025-08-08 11:20:58.530514
1999-00,1999,2000,2025-08-08 11:20:58.530514
1998-99,1998,1999,2025-08-08 11:20:58.530514
1997-98,1997,1998,2025-08-08 11:20:58.530514
1996-97,1996,1997,2025-08-08 11:20:58.530514
1995-96,1995,1996,2025-08-08 11:20:58.530514
1994-95,1994,1995,2025-08-08 11:20:58.530514
1993-94,1993,1994,2025-08-08 11:20:58.530514
1992-93,1992,1993,2025-08-08 11:20:58.530514
1991-92,1991,1992,2025-08-08 11:20:58.530514
1990-91,1990,1991,2025-08-08 11:20:58.530514
1989-90,1989,1990,2025-08-08 11:20:58.530514
1988-89,1988,1989,2025-08-08 11:20:58.530514
1987-88,1987,1988,2025-08-08 11:20:58.530514
1986-87,1986,1987,2025-08-08 11:20:58.530514
1985-86,1985,1986,2025-08-08 11:20:58.530514
1984-85,1984,1985,2025-08-08 11:20:58.530514
1983-84,1983,1984,2025-08-08 11:20:58.530514
1982-83,1982,1983,2025-08-08 11:20:58.530514
1981-82,1981,1982,2025-08-08 11:20:58.530514
1980-81,1980,1981,2025-08-08 11:20:58.530514
1979-80,1979,1980,2025-08-08 11:20:58.530514
1978-79,1978,1979,2025-08-08 11:20:58.530514
1977-78,1977,1978,2025-08-08 11:20:58.530514
1976-77,1976,1977,2025-08-08 11:20:58.530514
1975-76,1975,1976,2025-08-08 11:20:58.530514
1974-75,1974,1975,2025-08-08 11:20:58.530514
1973-74,1973,1974,2025-08-08 11:20:58.530514
1972-73,1972,1973,2025-08-08 11:20:58.530514
1971-72,1971,1972,2025-08-08 11:20:58.530514
1970-71,1970,1971,2025-08-08 11:20:58.530514
1969-70,1969,1970,2025-08-08 11:20:58.530514
1968-69,1968,1969,2025-08-08 11:20:58.530514
1967-68,1967,1968,2025-08-08 11:20:58.530514
1966-67,1966,1967,2025-08-08 11:20:58.530514
1965-66,1965,1966,2025-08-08 11:20:58.530514
1964-65,1964,1965,2025-08-08 11:20:58.530514
1963-64,1963,1964,2025-08-08 11:20:58.530514
1962-63,1962,1963,2025-08-08 11:20:58.530514
1961-62,1961,1962,2025-08-08 11:20:58.530514
1960-61,1960,1961,2025-08-08 11:20:58.530514
1959-60,1959,1960,2025-08-08 11:20:58.530514
1958-59,1958,1959,2025-08-08 11:20:58.530514
1957-58,1957,1958,2025-08-08 11:20:58.530514
1956-57,1956,1957,2025-08-08 11:20:58.530514
1955-56,1955,1956,2025-08-08 11:20:58.530514
1954-55,1954,1955,2025-08-08 11:20:58.530514
1953-54,1953,1954,2025-08-08 11:20:58.530514
1952-53,1952,1953,2025-08-08 11:20:58.530514
1951-52,1951,1952,2025-08-08 11:20:58.530514
1950-51,1950,1951,2025-08-08 11:20:58.530514
1949-50,1949,1950,2025-08-08 11:20:58.530514
1948-49,1948,1949,2025-08-08 11:20:58.530514
1947-48,1947,1948,2025-08-08 11:20:58.530514
1946-47,1946,1947,2025-08-08 11:20:58.530514
