GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS,game_id,game_date,endpoint,dataframe_index,collection_timestamp,GAME_DATE,ATTENDANCE,GAME_TIME,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,VIDEO_AVAILABLE_FLAG,PT_AVAILABLE,PT_XYZ_AVAILABLE,HUSTLE_STATUS,HISTORICAL_STATUS
2025-04-13T00:00:00,6.0,0022401191,1.0,1:00 pm ET,20250413/CHIPHI,1610612755.0,1610612741.0,2024,0.0,     ,,,0.0,0022401191,2025-04-13,BoxScoreSummaryV2,0,2025-08-10T12:38:50.056223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0022401191,2025-04-13,BoxScoreSummaryV2,4,2025-08-10T12:38:50.056223,"Sunday, April 13, 2025",,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-13T00:00:00,6.0,0022401191,,,,,,,,,,,,0022401191,2025-04-13,BoxScoreSummaryV2,5,2025-08-10T12:38:50.056223,,,,1610612741.0,CHI,Chicago,Bulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-13T00:00:00,6.0,0022401191,,,,,,,,,,,,0022401191,2025-04-13,BoxScoreSummaryV2,5,2025-08-10T12:38:50.056223,,,,1610612755.0,PHI,Philadelphia,76ers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0022401191,,,,,,,,,,,,0022401191,2025-04-13,BoxScoreSummaryV2,6,2025-08-10T12:38:50.056223,,,,,,,,,,,,,,,,,,,,,,,,0022400823,2025-02-24T00:00:00,1610612755.0,Philadelphia,76ers,PHI,110.0,1610612741.0,Chicago,Bulls,CHI,142.0,,,,,,,,
2025-04-13T00:00:00,,0022401191,,,,1610612755.0,1610612741.0,,,,,,,0022401191,2025-04-13,BoxScoreSummaryV2,7,2025-08-10T12:38:50.056223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Philadelphia,,,,,
,,0022401191,,,,,,,,,,,0.0,0022401191,2025-04-13,BoxScoreSummaryV2,8,2025-08-10T12:38:50.056223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2025-04-13T00:00:00,14.0,0022401199,1.0,3:30 pm ET,20250413/LALPOR,1610612757.0,1610612747.0,2024,0.0,     ,,,0.0,0022401199,2025-04-13,BoxScoreSummaryV2,0,2025-08-10T12:38:50.711070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0022401199,2025-04-13,BoxScoreSummaryV2,4,2025-08-10T12:38:50.726839,"Sunday, April 13, 2025",,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-13T00:00:00,14.0,0022401199,,,,,,,,,,,,0022401199,2025-04-13,BoxScoreSummaryV2,5,2025-08-10T12:38:50.726839,,,,1610612747.0,LAL,Los Angeles,Lakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-13T00:00:00,14.0,0022401199,,,,,,,,,,,,0022401199,2025-04-13,BoxScoreSummaryV2,5,2025-08-10T12:38:50.726839,,,,1610612757.0,POR,Portland,Trail Blazers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0022401199,,,,,,,,,,,,0022401199,2025-04-13,BoxScoreSummaryV2,6,2025-08-10T12:38:50.726839,,,,,,,,,,,,,,,,,,,,,,,,0022400796,2025-02-20T00:00:00,1610612757.0,Portland,Trail Blazers,POR,102.0,1610612747.0,Los Angeles,Lakers,LAL,110.0,,,,,,,,
