gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp,startersBench
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1641824.0,Matas,Buzelis,M. Buzelis,matas-buzelis,F,,,14:28,3,3,1.0,1,1,1.0,0,0,0.0,1,2,3,1,1,0,2,0,7,0.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1641763.0,Julian,Phillips,J. Phillips,julian-phillips,F,,,26:06,4,8,0.5,1,4,0.25,0,0,0.0,1,6,7,2,2,1,0,2,9,18.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,202696.0,Nikola,Vučević,N. Vučević,nikola-vučević,C,,,16:34,3,10,0.3,0,1,0.0,2,2,1.0,6,2,8,0,1,1,2,1,8,-6.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1629632.0,Coby,White,C. White,coby-white,G,,,18:47,1,6,0.167,0,2,0.0,0,0,0.0,0,4,4,4,0,1,3,1,2,-14.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1628989.0,Kevin,Huerter,K. Huerter,kevin-huerter,G,,,16:16,6,11,0.545,5,7,0.714,1,2,0.5,0,2,2,2,0,0,0,2,18,4.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1631207.0,Dalen,Terry,D. Terry,dalen-terry,,,,17:39,3,9,0.333,0,3,0.0,0,0,0.0,0,3,3,1,1,0,1,1,6,-11.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1630172.0,Patrick,Williams,P. Williams,patrick-williams,,,,26:11,6,12,0.5,3,8,0.375,0,1,0.0,0,6,6,4,2,1,3,2,15,23.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1630188.0,Jalen,Smith,J. Smith,jalen-smith,,,,16:24,5,13,0.385,1,3,0.333,1,2,0.5,3,7,10,2,0,0,0,1,12,8.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1629659.0,Talen,Horton-Tucker,T. Horton-Tucker,talen-horton-tucker,,,,28:32,6,9,0.667,0,2,0.0,5,7,0.714,0,3,3,6,2,0,1,0,17,20.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1628975.0,Jevon,Carter,J. Carter,jevon-carter,,,,21:34,2,9,0.222,1,7,0.143,0,0,0.0,1,3,4,2,0,0,0,2,5,26.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
