GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Overall,2024,5,1,4,0.2,138.83166666666668,31,66,0.47,8,28,0.286,22,31,0.71,3,22,25,8,6,6,1,5,8,20,92,-19,149.0,0,0,147.0,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1630639,PlayerDashboardByClutch,0,2025-08-10T12:55:24.149613
Overall,2024-25,49,26,23,0.531,1226.5216666666668,232,540,0.43,88,246,0.358,89,134,0.664,36,157,193,85,61,42,12,38,105,121,673,7,1133.1,2,0,1147.0,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1630639,PlayerDashboardByClutch,0,2025-08-10T12:55:24.149613
Last 5 MIN <= 5 PTS,2024,2,0,2,0.0,4.873333333333333,1,1,1.0,0,0,0.0,3,4,0.75,0,1,1,0,0,0,0,0,0,2,5,0,6.2,0,0,6.0,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1630639,PlayerDashboardByClutch,1,2025-08-10T12:55:24.149613
Last 5 MIN <= 5 PTS,2024-25,13,3,10,0.231,28.211666666666666,5,13,0.385,2,6,0.333,0,1,0.0,2,1,3,2,1,1,0,0,5,3,12,-5,20.6,0,0,21.0,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1630639,PlayerDashboardByClutch,1,2025-08-10T12:55:24.149613
Last 3 MIN <= 5 PTS,2024,2,0,2,0.0,2.9066666666666667,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,3,-2,3.0,0,0,3.0,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1630639,PlayerDashboardByClutch,2,2025-08-10T12:55:24.149613
Last 3 MIN <= 5 PTS,2024-25,10,3,7,0.3,21.878333333333334,3,11,0.273,1,5,0.2,0,1,0.0,2,1,3,2,1,1,0,0,4,3,7,7,15.6,0,0,15.0,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1630639,PlayerDashboardByClutch,2,2025-08-10T12:55:24.149613
Last 1 MIN <= 5 PTS,2024,2,0,2,0.0,1.2066666666666668,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0,0,1.0,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1630639,PlayerDashboardByClutch,3,2025-08-10T12:55:24.149613
Last 1 MIN <= 5 PTS,2024-25,9,2,7,0.222,12.361666666666666,2,6,0.333,1,3,0.333,0,1,0.0,1,0,1,1,1,1,0,0,4,2,5,-3,9.7,0,0,10.0,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1630639,PlayerDashboardByClutch,3,2025-08-10T12:55:24.149613
Last 30 SEC <= 3 PTS,2024,1,0,1,0.0,0.5366666666666666,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0,0,1.0,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1630639,PlayerDashboardByClutch,4,2025-08-10T12:55:24.149613
Last 30 SEC <= 3 PTS,2024-25,8,2,6,0.25,8.201666666666666,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,4,1,0,-6,-1.0,0,0,0.0,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1630639,PlayerDashboardByClutch,4,2025-08-10T12:55:24.149613
Last 10 SEC <= 3 PTS,2024,1,0,1,0.0,0.5366666666666666,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0,0,1.0,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1630639,PlayerDashboardByClutch,5,2025-08-10T12:55:24.149613
Last 10 SEC <= 3 PTS,2024-25,8,2,6,0.25,6.293333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,3,1,0,-6,-1.0,0,0,0.0,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1630639,PlayerDashboardByClutch,5,2025-08-10T12:55:24.149613
Last 5 MIN | +/- 5 PTS,2024,2,0,2,0.0,4.873333333333333,1,1,1.0,0,0,0.0,3,4,0.75,0,1,1,0,0,0,0,0,0,2,5,0,6.2,0,0,6.0,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1630639,PlayerDashboardByClutch,6,2025-08-10T12:55:24.149613
Last 5 MIN | +/- 5 PTS,2024-25,17,7,10,0.412,52.25333333333333,10,22,0.455,5,11,0.455,4,7,0.571,2,8,10,2,5,1,0,2,8,6,29,-14,42.0,0,0,48.0,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1630639,PlayerDashboardByClutch,6,2025-08-10T12:55:24.149613
Last 3 MIN | +/- 5 PTS,2024,2,0,2,0.0,2.9066666666666667,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,3,-2,3.0,0,0,3.0,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1630639,PlayerDashboardByClutch,7,2025-08-10T12:55:24.149613
Last 3 MIN | +/- 5 PTS,2024-25,14,7,7,0.5,37.32,5,17,0.294,2,8,0.25,4,7,0.571,2,4,6,2,4,1,0,2,6,6,16,-13,25.2,0,0,28.0,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1630639,PlayerDashboardByClutch,7,2025-08-10T12:55:24.149613
