GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Overall,2024,5,1,4,0.2,138.83166666666668,31,66,0.47,8,28,0.286,22,31,0.71,3,22,25,8,6,6,1,5,8,20,92,-19,149.0,0,0,147.0,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1630639,PlayerDashboardByGameSplits,0,2025-08-10T12:49:53.116701
Overall,2024-25,49,26,23,0.531,1226.5216666666668,232,540,0.43,88,246,0.358,89,134,0.664,36,157,193,85,61,42,12,38,105,121,673,7,1133.1,2,0,1147.0,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1630639,PlayerDashboardByGameSplits,0,2025-08-10T12:49:53.116701
By Half,First Half,48,24,24,0.5,639.2066666666667,121,285,0.425,44,132,0.333,58,78,0.744,13,89,102,31,25,24,7,17,50,71,366,-6,602.9,2,0,605.0,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,3,1630639,PlayerDashboardByGameSplits,1,2025-08-10T12:49:53.116701
By Half,Second Half,54,27,27,0.5,720.8966666666666,142,320,0.444,52,141,0.369,53,87,0.609,26,90,116,62,41,24,6,26,62,69,399,1,680.2,2,0,689.0,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,3,3,2,1,1,1,1,1,1,3,1630639,PlayerDashboardByGameSplits,1,2025-08-10T12:49:53.116701
By Half,Overtime,3,1,2,0.333,5.25,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1,1,0,-7,-1.0,0,0,0.0,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,1,3,1,1630639,PlayerDashboardByGameSplits,1,2025-08-10T12:49:53.116701
By Period,1,46,22,24,0.478,312.1566666666667,65,136,0.478,29,62,0.468,30,44,0.682,4,59,63,17,13,13,3,8,20,40,198,41,334.1,2,0,339.0,4,4,3,4,4,3,4,1,1,3,1,2,2,2,4,1,2,3,2,1,3,2,2,1,2,1,2,1,1,3,3,1630639,PlayerDashboardByGameSplits,2,2025-08-10T12:49:53.116701
By Period,2,47,24,23,0.511,327.05,56,149,0.376,15,70,0.214,28,34,0.824,9,30,39,14,12,11,4,9,30,31,168,-47,268.8,2,0,266.0,3,2,2,1,3,4,3,4,4,2,4,3,4,1,2,4,4,4,4,3,1,4,3,4,4,5,4,1,1,4,3,1630639,PlayerDashboardByGameSplits,2,2025-08-10T12:49:53.116701
By Period,3,48,23,25,0.479,341.49833333333333,69,167,0.413,29,81,0.358,22,38,0.579,9,40,49,35,28,13,4,8,32,36,197,4,331.3,2,0,344.0,2,3,4,3,2,2,1,3,1,1,3,4,3,4,2,3,3,1,1,1,1,2,5,2,3,2,3,1,1,2,3,1630639,PlayerDashboardByGameSplits,2,2025-08-10T12:49:53.116701
By Period,4,52,26,26,0.5,379.3983333333333,73,153,0.477,23,60,0.383,31,49,0.633,17,50,67,27,13,11,2,18,30,33,202,-3,348.9,2,0,345.0,1,1,5,2,1,1,2,2,3,4,2,1,1,3,1,2,1,2,2,3,4,5,3,3,1,3,1,1,1,1,3,1630639,PlayerDashboardByGameSplits,2,2025-08-10T12:49:53.116701
By Period,5,3,1,2,0.333,5.25,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1,1,0,-7,-1.0,0,0,0.0,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,4,5,5,1,5,1,1630639,PlayerDashboardByGameSplits,2,2025-08-10T12:49:53.116701
By Score Margin,Tied,45,21,24,0.467,74.82,14,34,0.412,4,12,0.333,4,5,0.8,1,15,16,3,7,3,0,1,2,8,37,-2,62.7,2,0,66.0,3,4,4,5,5,5,4,4,5,6,4,5,6,1,6,4,5,6,4,5,5,1,1,4,5,4,5,1,1,5,3,1630639,PlayerDashboardByGameSplits,3,2025-08-10T12:49:53.116701
By Score Margin,1 - 5 Points,48,24,24,0.5,556.2833333333333,113,251,0.45,44,120,0.367,52,72,0.722,16,76,92,34,25,18,4,17,46,66,339,126,541.4,2,0,553.0,1,1,4,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,6,6,1,1,1,1,1,1,1,3,1630639,PlayerDashboardByGameSplits,3,2025-08-10T12:49:53.116701
By Score Margin,6 - 10 Points,48,24,24,0.5,374.04,67,168,0.399,27,76,0.355,25,35,0.714,11,37,48,23,12,14,7,15,31,27,191,25,334.1,2,0,331.0,1,1,4,2,2,2,2,5,2,2,3,2,3,3,2,2,2,2,3,2,1,5,5,2,2,2,2,1,1,2,3,1630639,PlayerDashboardByGameSplits,3,2025-08-10T12:49:53.116701
By Score Margin,11 - 15 Points,45,22,23,0.489,205.79333333333332,39,87,0.448,13,40,0.325,20,36,0.556,4,30,34,20,15,7,1,5,20,26,119,-102,198.8,2,0,202.0,3,3,3,4,3,3,3,3,3,3,5,3,2,6,4,3,3,3,2,3,3,4,4,3,3,6,3,1,1,3,3,1630639,PlayerDashboardByGameSplits,3,2025-08-10T12:49:53.116701
By Score Margin,16 - 20 Points,28,15,13,0.536,69.75833333333334,11,33,0.333,2,13,0.154,4,7,0.571,2,7,9,6,4,2,1,3,7,6,29,-60,53.8,2,0,52.0,5,5,2,1,6,6,5,6,6,4,6,5,5,5,5,6,6,5,5,6,3,3,2,6,6,5,6,1,1,6,3,1630639,PlayerDashboardByGameSplits,3,2025-08-10T12:49:53.116701
By Score Margin,more than 20 Points,15,6,9,0.4,84.65833333333333,19,33,0.576,6,13,0.462,6,10,0.6,5,14,19,7,4,4,0,2,7,8,50,1,91.3,1,0,90.0,6,6,1,6,4,4,5,1,4,4,1,4,4,4,3,5,4,4,5,4,5,2,2,4,4,3,4,6,1,4,3,1630639,PlayerDashboardByGameSplits,3,2025-08-10T12:49:53.116701
By Actual Margin,Behind more than 20 Points,9,0,9,0.0,63.53,14,26,0.538,5,11,0.455,6,9,0.667,5,11,16,4,3,2,0,1,5,7,39,0,67.2,1,0,68.0,10,10,4,10,7,6,7,2,6,8,2,7,7,7,4,7,5,7,8,8,6,2,5,8,7,6,6,3,1,6,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Behind 16 - 20 Points,10,0,10,0.0,22.335,4,12,0.333,1,5,0.2,2,2,1.0,0,1,1,3,1,0,0,1,4,2,11,-3,15.7,1,0,16.0,9,10,5,10,10,11,10,10,9,10,10,9,10,1,9,11,11,8,10,11,6,2,4,10,10,8,11,3,1,11,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Behind 11 - 15 Points,20,2,18,0.1,54.12166666666667,13,26,0.5,4,12,0.333,8,16,0.5,0,4,4,6,6,4,0,0,5,11,40,3,59.8,1,0,62.0,7,9,7,9,8,8,7,3,7,6,6,5,5,9,9,9,9,6,6,5,6,1,5,5,6,4,8,3,1,8,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Behind 6 - 10 Points,31,9,22,0.29,127.18666666666667,20,53,0.377,7,24,0.292,8,11,0.727,3,12,15,11,5,5,2,4,12,9,58,67,108.5,1,0,105.0,5,7,9,8,5,5,5,9,5,5,9,5,6,4,6,6,7,5,7,4,3,7,7,6,5,2,5,3,1,5,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Behind 1 - 5 Points,44,20,24,0.455,262.07,55,124,0.444,21,56,0.375,25,33,0.758,6,28,34,16,10,6,4,9,23,33,166,85,250.8,2,0,257.0,3,5,10,7,2,2,2,5,2,2,4,2,2,3,3,2,2,2,2,3,2,10,10,1,2,1,2,1,1,2,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Tied,45,21,24,0.467,74.82,14,34,0.412,4,12,0.333,4,5,0.8,1,15,16,3,7,3,0,1,2,8,37,-2,62.7,2,0,66.0,1,3,10,6,6,6,6,7,7,6,6,8,8,2,8,5,5,8,4,6,6,2,1,7,8,7,7,1,1,7,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Ahead 1 - 5 Points,45,24,21,0.533,294.2133333333333,58,127,0.457,23,64,0.359,27,39,0.692,10,48,58,18,15,12,0,8,23,33,173,41,290.6,1,0,296.0,1,1,8,5,1,1,1,4,1,1,5,1,1,6,1,1,1,1,1,1,6,9,10,1,1,3,1,3,1,1,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Ahead 6 - 10 Points,41,24,17,0.585,246.85333333333332,47,115,0.409,20,52,0.385,17,24,0.708,8,25,33,12,7,9,5,11,19,18,133,-42,225.6,1,0,226.0,4,1,6,4,3,3,3,8,3,3,3,3,3,5,2,4,3,4,4,2,1,11,9,3,3,9,3,3,1,3,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Ahead 11 - 15 Points,28,21,7,0.75,151.67166666666665,26,61,0.426,9,28,0.321,12,20,0.6,4,26,30,14,9,3,1,5,15,15,79,-105,139.0,1,0,140.0,6,3,3,3,4,4,4,6,4,4,8,4,4,8,5,3,4,3,3,6,4,8,8,4,4,11,4,3,1,4,3,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Ahead 16 - 20 Points,18,15,3,0.833,47.42333333333333,7,21,0.333,1,8,0.125,2,5,0.4,2,6,8,3,3,2,1,2,3,4,18,-57,38.1,1,0,36.0,8,6,2,2,9,9,9,10,9,9,11,9,8,10,7,8,8,8,8,8,4,6,3,9,9,10,9,3,1,9,2,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
By Actual Margin,Ahead more than 20 Points,6,6,0,1.0,21.128333333333334,5,7,0.714,1,2,0.5,0,1,0.0,0,3,3,3,1,2,0,1,2,1,11,1,24.1,0,0,22.0,11,8,1,1,11,10,11,1,9,11,1,11,11,11,9,10,10,8,10,8,6,2,1,11,10,5,10,11,1,10,2,1630639,PlayerDashboardByGameSplits,4,2025-08-10T12:49:53.116701
Overall,2024-25,73,44,29,0.603,1659.1416666666667,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,40,37,7,3,157,50,541,227,1003.8,0,0,1066.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByGameSplits,0,2025-08-10T12:49:58.760274
By Half,First Half,71,44,27,0.62,808.8066666666666,87,214,0.407,74,186,0.398,10,11,0.909,8,84,92,63,18,17,1,1,82,17,258,161,498.9,0,0,523.0,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,3,2,2,1,2,1,1,2,1,1631260,PlayerDashboardByGameSplits,1,2025-08-10T12:49:58.760274
By Half,Second Half,71,42,29,0.592,845.335,95,210,0.452,81,177,0.458,12,16,0.75,10,72,82,44,22,20,6,2,75,32,283,60,503.4,0,0,542.0,1,2,3,3,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1631260,PlayerDashboardByGameSplits,1,2025-08-10T12:49:58.760274
