GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Overall,2024,5,1,4,0.2,138.83166666666668,31,66,0.47,8,28,0.286,22,31,0.71,3,22,25,8,6,6,1,5,8,20,92,-19,149.0,0,0,147.0,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1630639,PlayerDashboardByGeneralSplits,0,2025-08-10T12:51:18.553710
Overall,2024-25,49,26,23,0.531,1226.5216666666668,232,540,0.43,88,246,0.358,89,134,0.664,36,157,193,85,61,42,12,38,105,121,673,7,1133.1,2,0,1147.0,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1630639,PlayerDashboardByGeneralSplits,0,2025-08-10T12:51:18.553710
Location,Home,24,13,11,0.542,651.075,135,314,0.43,53,148,0.358,57,88,0.648,24,78,102,49,34,31,9,21,49,71,393,38,674.9,1,0,677.0,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1630639,PlayerDashboardByGeneralSplits,1,2025-08-10T12:51:18.553710
Location,Road,30,14,16,0.467,714.2783333333333,128,292,0.438,43,126,0.341,54,77,0.701,15,101,116,44,33,17,4,22,64,70,372,-50,607.2,1,0,617.0,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,3,1630639,PlayerDashboardByGeneralSplits,1,2025-08-10T12:51:18.553710
Wins/Losses,Wins,27,27,0,1.0,657.4916666666667,139,290,0.479,54,134,0.403,51,86,0.593,18,96,114,40,32,22,8,26,55,67,400,157,654.8,1,0,668.0,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,3,1630639,PlayerDashboardByGeneralSplits,2,2025-08-10T12:51:18.554711
Wins/Losses,Losses,27,0,27,0.0,707.8616666666667,124,316,0.392,42,140,0.3,60,79,0.759,21,83,104,53,35,26,5,17,58,74,365,-169,627.3,1,0,626.0,1,2,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,1,2,2,2,1,1,2,3,1630639,PlayerDashboardByGeneralSplits,2,2025-08-10T12:51:18.554711
Month,December,5,1,4,0.2,89.09,17,45,0.378,7,20,0.35,7,10,0.7,3,11,14,8,4,4,1,5,5,8,53,9,92.8,0,0,92.0,5,5,2,5,6,6,6,5,6,6,4,6,6,4,5,6,6,5,6,6,5,2,1,6,6,3,6,3,1,6,2,1630639,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:18.554711
Month,January,13,10,3,0.769,350.68666666666667,83,174,0.477,28,69,0.406,18,33,0.545,6,49,55,21,28,16,3,14,31,34,222,11,348.5,0,0,364.0,2,1,1,1,2,1,1,2,1,2,1,5,2,6,4,1,1,1,1,1,2,6,5,2,1,1,1,3,1,1,2,1630639,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:18.554711
Month,February,9,3,6,0.333,275.435,50,117,0.427,20,50,0.4,19,27,0.704,8,32,40,21,11,8,2,7,23,38,155,10,253.5,0,0,256.0,3,3,6,3,3,3,3,4,3,3,2,4,5,3,2,3,3,1,2,2,3,4,4,1,2,2,3,3,1,3,2,1630639,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:18.554711
Month,March,15,10,5,0.667,354.3333333333333,53,148,0.358,24,82,0.293,24,35,0.686,12,43,55,20,11,7,4,10,31,23,155,-19,273.0,1,0,276.0,1,1,4,2,1,2,2,6,2,1,5,1,1,5,1,2,1,3,2,3,1,5,5,3,2,5,2,1,1,2,2,1630639,PlayerDashboardByGeneralSplits,3,2025-08-10T12:51:18.554711
