GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,player_id,endpoint,dataframe_index,collection_timestamp,PLAYER_ID,PLAYER_NAME
Overall,2024,31,66,0.47,8,28,0.286,0.53,5,0.696,0.304,1.0,0.0,0.774,0.226,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1630639,PlayerDashboardByShootingSplits,0,2025-08-10T12:52:19.617707,,
Overall,2024-25,232,540,0.43,88,246,0.358,0.511,38,0.674,0.326,0.966,0.034,0.784,0.216,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1630639,PlayerDashboardByShootingSplits,0,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),Less Than 5 ft.,149,280,0.532,0,0,0.0,0.532,35,0.664,0.336,0.0,0.0,0.664,0.336,1.0,1.0,1.0,3.0,4.0,3.0,2.0,9.0,3.0,2.0,3.0,3.0,5.0,2.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),5-9 ft.,14,40,0.35,0,0,0.0,0.35,5,0.857,0.143,0.0,0.0,0.857,0.143,4.0,4.0,4.0,3.0,4.0,3.0,5.0,8.0,2.0,3.0,3.0,3.0,4.0,3.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),10-14 ft.,3,9,0.333,0,0,0.0,0.333,3,0.333,0.667,0.0,0.0,0.333,0.667,5.0,5.0,6.0,3.0,4.0,3.0,6.0,7.0,4.0,1.0,3.0,3.0,6.0,1.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),15-19 ft.,1,2,0.5,0,0,0.0,0.5,0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,6.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),20-24 ft.,50,137,0.365,50,136,0.368,0.547,0,0.0,0.0,0.98,0.02,0.98,0.02,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,2.0,5.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),25-29 ft.,46,137,0.336,46,137,0.336,0.504,0,0.0,0.0,0.957,0.043,0.957,0.043,3.0,2.0,5.0,2.0,1.0,2.0,3.0,1.0,5.0,4.0,2.0,1.0,3.0,4.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),30-34 ft.,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,3.0,7.0,1.0,5.0,4.0,3.0,3.0,7.0,6.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),35-39 ft.,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,7.0,3.0,4.0,3.0,7.0,1.0,5.0,4.0,3.0,3.0,7.0,6.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (5ft),40+ ft.,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,7.0,3.0,4.0,3.0,7.0,1.0,5.0,4.0,3.0,3.0,7.0,6.0,1630639,PlayerDashboardByShootingSplits,1,2025-08-10T12:52:19.617707,,
Shot Distance (8ft),Less Than 8 ft.,161,313,0.514,0,0,0.0,0.514,40,0.677,0.323,0.0,0.0,0.677,0.323,1.0,1.0,1.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,1630639,PlayerDashboardByShootingSplits,2,2025-08-10T12:52:19.617707,,
Shot Distance (8ft),8-16 ft.,5,16,0.313,0,0,0.0,0.313,3,0.6,0.4,0.0,0.0,0.6,0.4,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,1630639,PlayerDashboardByShootingSplits,2,2025-08-10T12:52:19.617707,,
Shot Distance (8ft),16-24 ft.,2,5,0.4,1,2,0.5,0.5,0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1630639,PlayerDashboardByShootingSplits,2,2025-08-10T12:52:19.617707,,
Shot Distance (8ft),24+ ft.,95,272,0.349,95,272,0.349,0.524,0,0.0,0.0,0.968,0.032,0.968,0.032,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,1630639,PlayerDashboardByShootingSplits,2,2025-08-10T12:52:19.617707,,
Shot Distance (8ft),Back Court Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,3.0,2.0,5.0,4.0,1630639,PlayerDashboardByShootingSplits,2,2025-08-10T12:52:19.617707,,
