GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp,GROUP_VALUE_ORDER,GROUP_VALUE_2
Overall,2024,5,1,4,0.2,138.83166666666668,31,66,0.47,8,28,0.286,22,31,0.71,3,22,25,8,6,6,1,5,8,20,92,-19,149.0,0,0,147.0,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1630639,PlayerDashboardByTeamPerformance,0,2025-08-10T12:53:24.616763,,
Overall,2024-25,49,26,23,0.531,1226.5216666666668,232,540,0.43,88,246,0.358,89,134,0.664,36,157,193,85,61,42,12,38,105,121,673,7,1133.1,2,0,1147.0,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1630639,PlayerDashboardByTeamPerformance,0,2025-08-10T12:53:24.616763,,
Score Differential,W,7,7,0,1.0,201.10333333333332,39,92,0.424,19,46,0.413,19,31,0.613,8,23,31,13,7,8,1,8,11,22,122,68,198.7,0,0,203.0,2,1,1,1,2,1,2,7,1,2,4,2,1,7,2,3,2,2,5,1,4,9,6,2,1,1,2,3,1,2,2,1630639,PlayerDashboardByTeamPerformance,1,2025-08-10T12:53:24.616763,,6-10 Points
Score Differential,W,6,6,0,1.0,151.54166666666666,36,74,0.486,17,38,0.447,18,28,0.643,4,25,29,7,10,5,2,8,16,17,107,13,163.3,1,0,174.0,3,2,1,1,4,3,3,5,2,3,2,3,2,5,3,2,3,6,1,5,3,9,8,3,3,4,3,1,1,3,3,1630639,PlayerDashboardByTeamPerformance,1,2025-08-10T12:53:24.616763,,11-15 Points
Score Differential,W,6,6,0,1.0,162.60333333333332,35,67,0.522,11,25,0.44,6,13,0.462,2,23,25,7,10,3,4,6,20,15,91,17,142.5,0,0,148.0,3,2,1,1,3,4,4,2,4,6,3,8,6,9,7,3,4,6,1,8,1,7,9,5,4,3,4,3,1,4,2,1630639,PlayerDashboardByTeamPerformance,1,2025-08-10T12:53:24.616763,,5 Points and Under
Score Differential,W,4,4,0,1.0,102.17666666666666,18,41,0.439,4,19,0.211,7,11,0.636,3,19,22,12,5,5,1,3,7,10,53,57,110.4,0,0,103.0,8,4,1,1,8,8,8,6,9,8,10,7,8,6,5,5,5,3,7,5,4,4,3,8,8,2,8,3,1,8,2,1630639,PlayerDashboardByTeamPerformance,1,2025-08-10T12:53:24.616763,,Over 20 Points
Score Differential,W,4,4,0,1.0,40.06666666666667,11,16,0.688,3,6,0.5,1,3,0.333,1,6,7,1,0,1,0,1,1,3,27,2,39.9,0,0,40.0,8,4,1,1,10,10,10,1,10,10,1,10,10,10,9,10,10,10,10,10,8,1,1,10,10,5,10,3,1,10,2,1630639,PlayerDashboardByTeamPerformance,1,2025-08-10T12:53:24.616763,,16-20 Points
Score Differential,W,27,27,0,1.0,657.4916666666667,139,290,0.479,54,134,0.403,51,86,0.593,18,96,114,40,32,22,8,26,55,67,400,157,654.8,1,0,668.0,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,3,1630639,PlayerDashboardByTeamPerformance,1,2025-08-10T12:53:24.616763,0.0,All
Score Differential,L,8,0,8,0.0,255.57,38,115,0.33,14,48,0.292,20,24,0.833,11,37,48,21,10,8,1,7,21,26,118,-9,224.1,0,0,219.0,1,6,10,6,1,2,1,9,3,1,8,1,3,1,1,1,1,1,1,1,4,8,10,1,2,6,1,3,1,1,3,1630639,PlayerDashboardByTeamPerformance,1,2025-08-10T12:53:24.616763,,5 Points and Under
Score Differential,L,6,0,6,0.0,135.95,19,60,0.317,6,28,0.214,13,16,0.813,3,17,20,10,7,6,1,3,10,12,60,-75,113.0,1,0,110.0,3,6,9,6,5,7,5,10,7,4,9,4,4,2,5,6,6,4,5,3,4,4,4,6,7,10,7,1,1,7,2,1630639,PlayerDashboardByTeamPerformance,1,2025-08-10T12:53:24.616763,,Over 20 Points
