GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Overall,2024-25,-1,TOT,2025-04-13T00:00:00,49,26,23,0.531,1226.5216666666668,232,540,0.43,88,246,0.358,89,134,0.664,36,157,193,85,61,42,12,38,105,121,673,7,1133.1,2,0,1147.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1630639,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:31.309346
Overall,2024-25,1610612761,TOR,2025-04-13T00:00:00,26,14,12,0.538,486.41,80,190,0.421,33,101,0.327,43,63,0.683,20,66,86,31,15,13,6,12,44,38,236,-17,427.7,2,0,424.0,1,1,3,1,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1630639,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:31.309346
Overall,2024-25,1612709920,RAP,2025-03-23T00:00:00,23,12,11,0.522,740.1116666666667,152,350,0.434,55,145,0.379,46,71,0.648,16,91,107,54,46,29,6,26,61,83,437,24,705.4,0,0,723.0,2,2,2,2,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1,1630639,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:31.309346
Overall,2024,1610612742,DAL,2024-07-20T00:00:00,5,1,4,0.2,138.83166666666668,31,66,0.47,8,28,0.286,22,31,0.71,3,22,25,8,6,6,1,5,8,20,92,-19,149.0,0,0,147.0,3,3,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,3,3,3,3,2,1,3,1,1630639,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:31.309346
By Year,2025,1610612761,TOR,2025-07-17T00:00:00,4,4,0,1.0,95.61666666666666,21,42,0.5,10,22,0.455,22,29,0.759,4,17,21,12,8,7,3,4,7,20,74,23,139.2,0,0,137.0,10,5,1,1,10,9,10,3,7,9,2,4,5,5,9,9,9,6,7,7,5,6,3,5,8,4,7,5,1,8,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2024-25,-1,TOT,2025-04-13T00:00:00,49,26,23,0.531,1226.5216666666668,232,540,0.43,88,246,0.358,89,134,0.664,36,157,193,85,61,42,12,38,105,121,673,7,1133.1,2,0,1147.0,1,1,3,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,2,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2024-25,1610612761,TOR,2025-04-13T00:00:00,26,14,12,0.538,486.41,80,190,0.421,33,101,0.327,43,63,0.683,20,66,86,31,15,13,6,12,44,38,236,-17,427.7,2,0,424.0,3,3,11,7,3,3,3,11,3,3,7,2,2,7,3,3,3,3,3,4,2,12,11,3,3,9,3,2,1,3,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2024-25,1612709920,RAP,2025-03-23T00:00:00,23,12,11,0.522,740.1116666666667,152,350,0.434,55,145,0.379,46,71,0.648,16,91,107,54,46,29,6,26,61,83,437,24,705.4,0,0,723.0,4,4,10,8,2,1,1,10,1,2,4,1,1,9,4,2,2,2,1,2,2,13,12,1,1,3,2,5,1,2,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2024,1610612742,DAL,2024-07-20T00:00:00,5,1,4,0.2,138.83166666666668,31,66,0.47,8,28,0.286,22,31,0.71,3,22,25,8,6,6,1,5,8,20,92,-19,149.0,0,0,147.0,7,10,6,11,7,6,6,8,9,6,8,4,4,6,10,7,7,7,8,8,8,7,4,5,6,10,6,5,1,6,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2023-24,1610612742,DAL,2024-04-14T00:00:00,42,27,15,0.643,310.9,54,121,0.446,13,50,0.26,15,23,0.652,14,36,50,20,14,10,3,8,22,13,136,18,251.0,0,0,245.0,1,1,13,5,4,5,5,9,5,5,9,7,6,8,5,5,5,4,5,6,5,9,10,9,5,5,5,5,1,5,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
