gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,source_game_id,collection_timestamp,estimatedTeamTurnoverPercentage
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1630528.0,Josh,Christopher,J. Christopher,josh-christopher,F,,,36:39,119.5,119.5,117.3,117.3,2.2,2.2,0.214,1.0,18.2,0.03,0.103,0.069,18.2,0.7,0.718,0.3,0.3,106.74,106.74,88.95,82.0,0.132,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1629642.0,Nassir,Little,N. Little,nassir-little,F,,,30:34,122.7,122.7,113.2,113.2,9.5,9.5,0.174,2.0,19.0,0.083,0.059,0.069,9.5,0.714,0.762,0.239,0.239,105.21,105.21,87.68,66.0,0.125,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1642013.0,Malik,Williams,M. Williams,malik-williams,C,,,29:43,121.5,121.5,115.2,115.2,6.4,6.4,0.038,1.0,8.3,0.063,0.296,0.169,8.3,0.5,0.644,0.149,0.149,105.8,105.8,88.17,65.0,0.107,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1631214.0,Alondes,Williams,A. Williams,alondes-williams,G,,,34:37,119.2,119.2,115.6,115.6,3.6,3.6,0.107,0.75,11.1,0.034,0.111,0.077,14.8,0.528,0.503,0.286,0.286,107.46,107.46,89.55,78.0,0.066,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1641985.0,Bryson,Warren,B. Warren,bryson-warren,G,,,40:44,124.7,124.7,118.0,118.0,6.7,6.7,0.222,4.0,28.6,0.051,0.027,0.039,7.1,0.667,0.667,0.198,0.198,104.88,104.88,87.4,89.0,0.107,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1642550.0,Xavier,Johnson,X. Johnson,xavier-johnson,,,,19:29,82.9,82.9,126.8,126.8,-43.9,-43.9,0.143,1.0,28.6,0.048,0.0,0.029,28.6,0.0,0.0,0.102,0.102,101.01,101.01,84.17,41.0,-0.033,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1642514.0,Warren,Washington,W. Washington,warren-washington,,,,18:17,97.6,97.6,123.1,123.1,-25.5,-25.5,0.063,0.0,33.3,0.077,0.278,0.194,0.0,1.0,1.0,0.044,0.044,105.01,105.01,87.51,41.0,0.134,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1641915.0,Caleb,Daniels,C. Daniels,caleb-daniels,,,,22:23,85.7,85.7,123.9,123.9,-38.2,-38.2,0.0,0.0,0.0,0.037,0.125,0.07,37.5,0.6,0.6,0.136,0.136,101.86,101.86,84.88,49.0,0.038,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1642628.0,Christian,Brown,C. Brown,christian-brown,,,,7:34,100.0,100.0,123.5,123.5,-23.5,-23.5,0.0,0.0,0.0,0.0,0.25,0.091,0.0,0.0,0.532,0.15,0.15,107.84,107.84,89.87,17.0,0.029,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,1642552.0,Tyler,Polley,T. Polley,tyler-polley,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,203503.0,Tony,Snell,T. Snell,tony-snell,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1631257.0,Jermaine,Samuels Jr.,J. Samuels Jr.,jermaine-samuels-jr,F,,,35:29,112.8,112.8,127.5,127.5,-14.7,-14.7,0.13,1.5,15.8,0.0,0.147,0.074,10.5,0.75,0.676,0.186,0.186,106.87,106.87,89.06,78.0,0.103,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1629098.0,Jack,McVeigh,J. McVeigh,jack-mcveigh,F,,,29:26,113.8,113.8,122.7,122.7,-8.9,-8.9,0.048,0.5,5.6,0.0,0.133,0.068,11.1,0.423,0.508,0.236,0.236,106.82,106.82,89.01,65.0,0.058,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1642368.0,N'Faly,Dante,N. Dante,nfaly-dante,C,,,21:45,108.3,108.3,100.0,100.0,8.3,8.3,0.0,0.0,0.0,0.217,0.4,0.289,0.0,0.889,0.889,0.155,0.155,107.03,107.03,89.2,48.0,0.227,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1630227.0,Daishen,Nix,D. Nix,daishen-nix,G,,,34:30,116.9,116.9,120.5,120.5,-3.6,-3.6,0.429,2.0,41.4,0.056,0.161,0.104,20.7,0.688,0.893,0.193,0.193,107.83,107.83,89.86,77.0,0.16,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1641999.0,John,Knight III,J. Knight III,john-knight-iii,G,,,28:28,95.2,95.2,116.4,116.4,-21.2,-21.2,0.05,0.5,12.5,0.091,0.12,0.103,25.0,0.4,0.4,0.097,0.097,103.7,103.7,86.42,62.0,0.037,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1642591.0,Jeremy,Jones,J. Jones,jeremy-jones,,,,25:57,142.1,142.1,100.0,100.0,42.1,42.1,0.074,2.0,18.2,0.059,0.0,0.022,9.1,0.688,0.688,0.145,0.145,104.51,104.51,87.09,57.0,0.069,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1641806.0,Markquis,Nowell,M. Nowell,markquis-nowell,,,,25:39,136.4,136.4,82.1,82.1,54.2,54.2,0.391,4.5,39.1,0.05,0.1,0.08,8.7,0.682,0.715,0.226,0.226,103.86,103.86,86.55,55.0,0.185,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1629729.0,Josh,Reaves,J. Reaves,josh-reaves,,,,8:44,121.1,121.1,85.0,85.0,36.1,36.1,0.1,0.5,33.3,0.0,0.0,0.0,66.7,0.0,0.0,0.091,0.091,107.18,107.18,89.31,19.0,-0.059,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1642592.0,Teddy,Allen,T. Allen,teddy-allen,,,,20:29,123.3,123.3,106.7,106.7,16.6,16.6,0.267,4.0,19.0,0.111,0.067,0.091,4.8,0.625,0.625,0.34,0.34,103.11,103.11,85.92,43.0,0.184,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1642516.0,Kevin,"Cross, Jr.","K. Cross, Jr.","kevin-cross,-jr",,,,9:33,113.6,113.6,147.6,147.6,-34.0,-34.0,0.0,0.0,0.0,0.0,0.111,0.059,12.5,0.286,0.286,0.333,0.333,108.06,108.06,90.05,22.0,-0.033,2022400370,2025-08-10T09:32:47.115660,
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,,,,,,,,,240:00,596.2,119.2,566.7,113.3,29.5,5.9,0.702,1.74,21.9,0.311,0.689,0.5,18.3,0.618,0.649,1.0,0.983,20.9,104.5,87.08,104.0,0.539,2022400370,2025-08-10T09:32:47.115660,18.269
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,,,,,,,,,240:00,566.7,113.3,596.2,119.2,-29.5,-5.9,0.521,1.25,17.5,0.311,0.689,0.5,19.0,0.612,0.637,1.0,0.992,20.9,104.5,87.08,105.0,0.461,2022400370,2025-08-10T09:32:47.115660,19.048
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1641787.0,Tosan,Evbuomwan,T. Evbuomwan,tosan-evbuomwan,F,,,26:55,83.3,83.3,125.5,125.5,-42.1,-42.1,0.308,1.0,25.0,0.0,0.214,0.115,25.0,0.438,0.438,0.214,0.214,97.19,97.19,80.99,54.0,0.084,2022300370,2025-08-10T09:32:59.010392,
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1630649.0,Stanley,Umude,S. Umude,stanley-umude,F,,,33:48,89.9,89.9,124.6,124.6,-34.8,-34.8,0.067,1.0,5.3,0.0,0.206,0.104,5.3,0.471,0.487,0.247,0.247,97.99,97.99,81.66,69.0,0.08,2022300370,2025-08-10T09:32:59.010392,
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1630233.0,Nathan,Knight,N. Knight,nathan-knight,C,,,37:04,97.4,97.4,106.6,106.6,-9.2,-9.2,0.167,2.0,18.2,0.0,0.158,0.083,9.1,0.364,0.682,0.22,0.22,98.42,98.42,82.01,76.0,0.119,2022300370,2025-08-10T09:32:59.010392,
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1631197.0,Jared,Rhoden,J. Rhoden,jared-rhoden,G,,,36:13,88.0,88.0,116.2,116.2,-28.2,-28.2,0.067,0.33,4.5,0.0,0.132,0.067,13.6,0.639,0.639,0.263,0.263,98.74,98.74,82.28,75.0,0.104,2022300370,2025-08-10T09:32:59.010392,
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1630285.0,Zavier,Simpson,Z. Simpson,zavier-simpson,G,,,35:36,101.4,101.4,104.2,104.2,-2.8,-2.8,0.348,8.0,44.4,0.0,0.135,0.07,5.6,0.444,0.444,0.13,0.13,96.4,96.4,80.34,72.0,0.107,2022300370,2025-08-10T09:32:59.010392,
