GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,source_player_id,collection_timestamp,PLAYER_ID,PLAYER_NAME
Overall,2024,12,26,0.462,6,14,0.429,0.577,1,0.833,0.167,1.0,0.0,0.917,0.083,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Overall,2024-25,182,417,0.436,91,248,0.367,0.546,10,0.758,0.242,0.934,0.066,0.846,0.154,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),Less Than 5 ft.,17,30,0.567,0,0,0.0,0.567,4,0.588,0.412,0.0,0.0,0.588,0.412,5.0,5.0,2.0,4.0,6.0,4.0,3.0,8.0,5.0,1.0,3.0,4.0,6.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),5-9 ft.,14,25,0.56,0,0,0.0,0.56,4,0.714,0.286,0.0,0.0,0.714,0.286,6.0,6.0,3.0,4.0,6.0,4.0,4.0,8.0,3.0,3.0,3.0,4.0,4.0,4.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),10-14 ft.,24,49,0.49,0,0,0.0,0.49,1,0.667,0.333,0.0,0.0,0.667,0.333,4.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,4.0,2.0,3.0,4.0,5.0,3.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),15-19 ft.,37,65,0.569,0,0,0.0,0.569,2,0.892,0.108,0.0,0.0,0.892,0.108,2.0,3.0,1.0,4.0,6.0,4.0,2.0,7.0,2.0,4.0,3.0,4.0,3.0,5.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),20-24 ft.,26,79,0.329,21,67,0.313,0.462,0,1.0,0.0,0.952,0.048,0.962,0.038,3.0,2.0,7.0,2.0,2.0,3.0,7.0,1.0,1.0,5.0,1.0,3.0,1.0,7.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),25-29 ft.,75,189,0.397,75,189,0.397,0.595,0,0.0,0.0,0.947,0.053,0.947,0.053,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,2.0,2.0,6.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),30-34 ft.,1,3,0.333,1,3,0.333,0.5,0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,6.0,3.0,3.0,2.0,5.0,1.0,6.0,5.0,3.0,1.0,7.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),35-39 ft.,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,8.0,4.0,5.0,4.0,8.0,1.0,6.0,5.0,3.0,4.0,7.0,8.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),40+ ft.,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,4.0,4.0,4.0,8.0,1.0,6.0,5.0,3.0,4.0,7.0,8.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),Less Than 8 ft.,24,45,0.533,0,0,0.0,0.533,7,0.667,0.333,0.0,0.0,0.667,0.333,4.0,4.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,1.0,2.0,2.0,4.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),8-16 ft.,40,74,0.541,0,0,0.0,0.541,2,0.675,0.325,0.0,0.0,0.675,0.325,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),16-24 ft.,33,62,0.532,0,0,0.0,0.532,2,0.939,0.061,0.0,0.0,0.939,0.061,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),24+ ft.,97,260,0.373,97,260,0.373,0.56,0,0.0,0.0,0.938,0.062,0.938,0.062,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),Back Court Shot,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Restricted Area,15,24,0.625,0,0,0.0,0.625,4,0.533,0.467,0.0,0.0,0.533,0.467,4.0,5.0,1.0,4.0,5.0,4.0,1.0,6.0,3.0,1.0,4.0,3.0,6.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,In The Paint (Non-RA),25,49,0.51,0,0,0.0,0.51,5,0.68,0.32,0.0,0.0,0.68,0.32,3.0,3.0,3.0,4.0,5.0,4.0,4.0,7.0,2.0,2.0,4.0,3.0,5.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Mid-Range,57,108,0.528,0,0,0.0,0.528,2,0.86,0.14,0.0,0.0,0.86,0.14,2.0,2.0,2.0,4.0,5.0,4.0,3.0,5.0,1.0,3.0,4.0,3.0,4.0,3.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Left Corner 3,9,33,0.273,9,33,0.273,0.409,0,0.0,0.0,0.889,0.111,0.889,0.111,5.0,4.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Right Corner 3,4,15,0.267,4,15,0.267,0.4,0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,6.0,3.0,3.0,3.0,6.0,1.0,4.0,4.0,1.0,3.0,1.0,6.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Above the Break 3,84,213,0.394,84,213,0.394,0.592,0,0.0,0.0,0.94,0.06,0.94,0.06,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Backcourt,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,1.0,4.0,4.0,4.0,3.0,7.0,6.0,1629751,2025-08-10T09:40:51.204330,,
Assisted Shot,Assisted,165,165,1.0,91,91,1.0,1.276,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Assisted Shot,Unassisted,29,29,1.0,6,6,1.0,1.103,0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Alley Oop,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Alley Oop,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Bank Shot,1,3,0.333,0,0,0.0,0.333,1,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Bank Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Dunk,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Dunk,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Fadeaway,1,2,0.5,0,0,0.0,0.5,1,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Fadeaway,12,23,0.522,2,2,1.0,0.565,0,0.4,0.6,0.5,0.5,0.417,0.583,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Finger Roll,4,6,0.667,0,0,0.0,0.667,1,0.75,0.25,0.0,0.0,0.75,0.25,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Finger Roll,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Jump Shot,12,25,0.48,6,14,0.429,0.6,0,0.833,0.167,1.0,0.0,0.917,0.083,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Jump Shot,157,377,0.416,90,247,0.364,0.536,5,0.836,0.164,0.944,0.056,0.898,0.102,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
