SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,source_player_id,collection_timestamp
22024,1630696,0022400396,"Dec 23, 2024",MIA vs. BKN,W,7,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,1,0,6,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400377,"Dec 21, 2024",MIA @ ORL,L,26,4,8,0.5,2,4,0.5,3,4,0.75,2,2,4,0,4,0,1,5,13,-17,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400375,"Dec 20, 2024",MIA vs. OKC,L,30,5,6,0.833,3,4,0.75,0,0,0.0,0,0,0,4,2,1,3,3,13,-9,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022401221,"Dec 16, 2024",MIA @ DET,L,31,2,4,0.5,1,2,0.5,2,2,1.0,0,0,0,2,6,0,1,6,7,21,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022401206,"Dec 12, 2024",MIA vs. TOR,W,34,3,7,0.429,1,3,0.333,4,6,0.667,0,3,3,3,1,0,1,1,11,14,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400351,"Dec 08, 2024",MIA vs. CLE,W,26,4,9,0.444,3,6,0.5,0,0,0.0,3,1,4,2,0,0,2,2,11,-2,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400346,"Dec 07, 2024",MIA vs. PHX,W,29,3,5,0.6,1,3,0.333,0,0,0.0,1,3,4,1,2,1,1,5,7,-6,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400321,"Dec 04, 2024",MIA vs. LAL,W,12,1,2,0.5,1,1,1.0,0,0,0.0,1,2,3,3,1,0,2,2,3,8,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400316,"Dec 02, 2024",MIA @ BOS,L,21,3,6,0.5,2,2,1.0,0,0,0.0,3,1,4,2,2,0,1,1,8,-2,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400245,"Nov 18, 2024",MIA vs. PHI,W,25,4,7,0.571,2,4,0.5,0,0,0.0,0,6,6,3,3,0,1,1,10,23,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400147,"Nov 02, 2024",MIA @ WAS,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-2,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400122,"Oct 30, 2024",MIA vs. NYK,L,16,1,4,0.25,0,1,0.0,0,0,0.0,0,4,4,0,0,3,0,0,2,-7,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400088,"Oct 26, 2024",MIA @ CHA,W,3,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,3,0,-2,1,1630696,2025-08-10T09:40:18.515273
22024,1630696,0022400065,"Oct 23, 2024",MIA vs. ORL,L,6,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,0,0,13,1,1630696,2025-08-10T09:40:18.515273
22024,203903,0022401030,"Mar 23, 2025",UTA vs. CLE,L,23,3,11,0.273,2,7,0.286,2,2,1.0,0,3,3,2,0,1,4,0,10,1,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400627,"Mar 19, 2025",UTA vs. WAS,W,20,5,11,0.455,1,4,0.25,3,4,0.75,0,3,3,4,0,0,5,0,14,10,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400989,"Mar 17, 2025",UTA vs. CHI,L,22,5,10,0.5,1,5,0.2,3,5,0.6,1,2,3,3,0,0,4,1,14,3,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400966,"Mar 14, 2025",UTA vs. TOR,L,23,5,9,0.556,2,3,0.667,7,9,0.778,1,1,2,3,2,0,2,1,19,-14,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400950,"Mar 12, 2025",UTA @ MEM,L,24,3,10,0.3,2,5,0.4,4,5,0.8,1,3,4,2,2,0,5,0,12,-13,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400843,"Feb 26, 2025",UTA vs. SAC,L,31,1,14,0.071,0,8,0.0,0,0,0.0,0,0,0,6,2,0,3,1,2,2,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400804,"Feb 21, 2025",UTA vs. OKC,L,30,7,16,0.438,4,10,0.4,1,1,1.0,3,1,4,2,0,0,1,1,19,-18,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400781,"Feb 12, 2025",UTA vs. LAL,W,29,7,17,0.412,3,7,0.429,4,8,0.5,2,7,9,7,0,0,0,3,21,33,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400768,"Feb 10, 2025",UTA @ LAL,L,29,6,15,0.4,3,10,0.3,1,2,0.5,0,1,1,4,0,0,1,3,16,-20,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400751,"Feb 08, 2025",UTA @ LAC,L,34,8,19,0.421,6,12,0.5,2,2,1.0,0,3,3,3,1,1,2,1,24,-19,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400725,"Feb 05, 2025",UTA vs. GSW,W,33,10,19,0.526,5,8,0.625,6,6,1.0,1,3,4,5,0,0,1,2,31,17,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400707,"Feb 03, 2025",UTA vs. IND,L,35,8,17,0.471,3,8,0.375,2,2,1.0,1,3,4,3,1,0,1,0,21,-14,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400687,"Feb 01, 2025",UTA vs. ORL,W,21,4,12,0.333,4,8,0.5,4,4,1.0,0,1,1,2,2,0,0,0,16,0,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400677,"Jan 30, 2025",UTA vs. MIN,L,25,6,13,0.462,3,8,0.375,1,1,1.0,0,0,0,3,2,0,1,3,16,-31,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400658,"Jan 27, 2025",UTA vs. MIL,L,22,4,12,0.333,4,8,0.5,1,2,0.5,1,2,3,5,0,0,1,3,13,8,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400481,"Jan 04, 2025",UTA @ MIA,W,3,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,2,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400458,"Jan 01, 2025",UTA @ NYK,L,32,8,20,0.4,3,7,0.429,6,9,0.667,1,3,4,1,1,2,5,1,25,-10,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400445,"Dec 30, 2024",UTA vs. DEN,L,28,7,15,0.467,3,5,0.6,7,7,1.0,2,3,5,4,1,0,4,2,24,-7,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400433,"Dec 28, 2024",UTA vs. PHI,L,30,7,16,0.438,0,3,0.0,3,3,1.0,1,2,3,4,0,1,2,1,17,-9,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400392,"Dec 23, 2024",UTA @ CLE,L,33,7,17,0.412,3,5,0.6,10,11,0.909,0,6,6,5,2,1,4,5,27,4,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400379,"Dec 21, 2024",UTA @ BKN,W,31,6,12,0.5,2,5,0.4,2,4,0.5,0,3,3,8,1,0,1,0,16,4,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400360,"Dec 19, 2024",UTA @ DET,W,14,1,6,0.167,1,3,0.333,0,0,0.0,0,1,1,5,1,1,4,1,3,-10,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022401226,"Dec 16, 2024",UTA @ LAC,L,23,6,13,0.462,3,6,0.5,5,6,0.833,0,0,0,2,1,0,6,0,20,-21,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022401214,"Dec 13, 2024",UTA vs. PHX,L,31,8,13,0.615,4,6,0.667,3,4,0.75,0,2,2,4,1,1,3,4,23,-4,1,203903,2025-08-10T09:40:19.185416
22024,203903,0022400264,"Nov 23, 2024",UTA vs. NYK,W,25,2,9,0.222,0,0,0.0,0,0,0.0,2,2,4,6,0,0,4,2,4,-8,1,203903,2025-08-10T09:40:19.185416
